"","COWcode","year","country_name","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","v2x_regime","v2x_regime_amb","v2x_ex_military","v2x_ex_confidence","v2x_ex_direlect","v2x_ex_hereditary","v2x_ex_party","v2x_neopat","v2xnp_client","v2x_frassoc_thick","v2x_jucon","v2xlg_legcon","v2x_cspart","v2lpname","v2exhoshog","v2exremhog","v2exdjdshg","v2exdfvthg","v2reginfo","v2regint","v2regendtype","v2regimpgroup","v2regsupgroupssize","v2lgoppart","v2dlencmps","v2juhcind","v2juncind","v2juhccomp","v2jucomp","v2jureview","v2stfisccap","v2svstterr","v2mecenefi","v2mecenefm","v2exl_legitideol","v2exl_legitideolcr_0","v2exl_legitideolcr_1","v2exl_legitideolcr_2","v2exl_legitideolcr_3","v2exl_legitideolcr_4","v2xpe_exlsocgr","v2x_gencl","v2x_rule","v2xcl_prpty","v2xcs_ccsi","v2x_clpol","v2x_clpriv","v2clfmove","v2xcl_dmove","v2cldmovem","v2cldmovew","v2cldiscm","v2cldiscw","v2clslavem","v2clslavef","v2clstown","v2clprptym","v2clprptyw","v2clacjstm","v2clacjstw","e_legparty","e_autoc","e_peaveduc","e_migdppc","e_migdppcln","e_cow_exports","e_cow_imports","e_total_fuel_income_pc","e_total_oil_income_pc","e_miurbani","e_mipopula","e_civil_war","e_miinteco","v2exrmhgnp_0","v2exrmhgnp_1","v2exrmhgnp_2","v2exrmhgnp_3","v2exrmhgnp_4","v2exrmhgnp_5","v2exrmhgnp_6","v2exrmhgnp_7","v2exrmhgnp_8","v2exctlhg_0","v2exctlhg_1","v2exctlhg_2","v2exctlhg_3","v2exctlhg_4","v2exctlhg_5","v2exctlhg_6","v2exctlhg_7","v2exctlhg_8","v2regsupgroups_0","v2regsupgroups_1","v2regsupgroups_2","v2regsupgroups_3","v2regsupgroups_4","v2regsupgroups_5","v2regsupgroups_6","v2regsupgroups_7","v2regsupgroups_8","v2regsupgroups_9","v2regsupgroups_10","v2regsupgroups_11","v2regsupgroups_12","v2regsupgroups_13","v2exl_legitlead","ccode.x","onsets","revonsets","sideaonsets","force_onsets","force_revonsets","force_sideaonsets","leader","age0","age","usedforce","irregulartransition","foundingleader","foreigninstall","radicalideology","democratizing","revolutionaryleader","chg_executivepower","chg_politicalideology","chg_propertyownership","chg_womenandethnicstatus","chg_religioningovernment","chg_revolutionarycommittee","totalcategorieschanged","muslim","durable","cinc","majorpower","peaceyears","dem","conflict.status","trade","rule.inverse","X1","dispnum","stabb","ccode.y","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version","outcome","settle","recip","numa","numb","legitideol","nationalist","socialist","conservative","autonomist","religious","totalcat","mideology","mnationalist","msocialist","mconservative","mautonomist","mreligious","initiator","revisionist","policyrevisionist","regimerevisionist","territorialrevisionist","otherrevisionist","nonterritorial","backdown","hostile","hostileorig","hostilepolicy","hostileregime","personofleader","coldwar","transformativeideology","cinc2"
"1",100,1951,"Colombia",0.184,0.127,0.069,0.033,0.063,1,3,0,0,1,0,0,0.699,0.714,0.441,0.301,0.668,0.266,NA,1,NA,NA,NA,"Peaceful succesion of power Liberals to Conservatives.  (08/08/1930 - 13/06/1953)",1,0,2,0.018,-0.735,-0.405,-0.74,-0.684,0.203,-0.778,-0.417,0.057,69.8,NA,-1.651,-0.311,0.667,0,1,0,0.333,0.814,0.157,0.269,0.224,0.154,0.258,0.366,1.041,0.435,-0.614,0.426,-1.434,-1.258,0.453,-1.852,0.854,0.228,-2.046,-1.697,-0.903,1,6,3.43,2958,7.992,457.4,414.9,46.18,41.54,0.322,12027.767,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,0,0,0,0,0,0,-0.357,100,1,0,0,1,0,0,"Roberto Urdaneta Arbelaez",61,61,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.000493000028654933,3,0.00261439988389611,0,6,0,0,872.3,0.731,98,51,"COL",100,6,6,1951,27,7,1953,0,0,0,-9,3,-9,20,5,0,5,5,1,1,2,15,0.442698412698413,0.667,0,1,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.357,1,0,0.261439988389611
"2",100,1980,"Colombia",0.47,0.302,0.197,0.164,0.154,1,4,0,0,1,0,0,0.487,0.796,0.607,0.598,0.701,0.579,NA,1,NA,NA,NA,"Post-National Front (08/08/1974 - 04/07/1991)",1,10,2,0.018,0.991,-1.065,1.542,0.725,0.236,-0.679,-0.417,0.057,72.2,NA,0.432,-0.828,0.5,0,1,0,0,0.691,0.34,0.448,0.394,0.195,0.44,0.558,1.497,0.648,0.481,0.928,-0.888,-0.445,0.661,-0.958,0.854,0.812,-1.218,-0.75,-0.301,2,0,4.906,6825,8.828,3945.33,4662.58,177.35,149.77,0.593,26631,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,1,0,0,0,0,0,-2.642,100,1,0,1,0,0,0,"Turbay",62,64,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.000493000028654933,23,0.00369479996152222,0,28,1,0,8607.91,0.552,3347,3120,"COL",100,7,2,1980,7,2,1980,1,0,0,-9,0,0,7,3,1,5,5,3,0,1,1,0.360634920634921,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-2.642,1,0,0.369479996152222
"3",100,1982,"Colombia",0.418,0.284,0.185,0.228,0.145,1,3,0,0,1,0,0,0.5,0.813,0.606,0.617,0.739,0.579,NA,1,NA,NA,NA,"Post-National Front (08/08/1974 - 04/07/1991)",1,10,2,0.018,0.991,-0.463,1.542,0.725,0.236,-0.679,-0.417,0.057,68.2,NA,0.432,-1.526,0.5,0,1,0,0,0.691,0.31,0.521,0.394,0.212,0.476,0.581,1.497,0.643,0.481,0.92,-0.359,-0.445,0.661,-0.958,0.854,0.812,-1.218,-0.75,-0.646,2,0,5.122,6621,8.798,3094.96,5477.7,156.64,122.61,0.596,27896.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,1,0,0,0,0,0,-2.642,100,1,1,0,1,1,0,"Betancur",59,59,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.000493000028654933,25,0.00379869993776083,0,1,1,0,8572.66,0.479,2385,2323,"COL",100,13,7,1982,24,7,1982,0,1,1,-9,0,0,16,4,1,5,5,3,1,1,1,0.24984126984127,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,-2.642,1,0,0.379869993776083
"4",100,1987,"Colombia",0.5,0.339,0.205,0.364,0.167,1,4,0,0,1,0,0,0.426,0.786,0.641,0.611,0.756,0.557,NA,1,NA,NA,NA,"Post-National Front (08/08/1974 - 04/07/1991)",1,10,2,0.018,1.355,-0.24,1.542,0.725,0.236,-0.419,-0.417,0.057,68.2,NA,1.84,-1.916,0.5,0,1,0,0,0.678,0.362,0.512,0.338,0.24,0.559,0.548,1.497,0.517,-0.479,0.912,0.125,-0.296,0.661,-0.812,0.854,0.549,-1.306,-1.035,-0.646,2,0,5.661,6501,8.78,5024.77,4227.33,180.63,143.72,0.601,31059.2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,1,0,0,0,0,0,-2.642,100,1,1,1,0,0,0,"Vargas",65,66,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.000493000028654933,30,0.0041720001026988,0,0,1,0,9252.1,0.488,2833,2812,"COL",100,13,8,1987,5,9,1987,1,1,1,-9,0,0,7,3,1,5,5,3,1,1,1,0.187936507936508,0.5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,-2.642,1,0,0.41720001026988
"5",100,1988,"Colombia",0.489,0.325,0.289,0.363,0.165,1,4,0,0,1,0,0,0.426,0.786,0.641,0.611,0.756,0.557,NA,1,NA,NA,NA,"Post-National Front (08/08/1974 - 04/07/1991)",1,10,2,0.018,1.355,-0.24,1.542,0.725,0.236,-0.419,-0.417,0.057,66.2,NA,1.84,-1.916,0.5,0,1,0,0,0.678,0.26,0.469,0.338,0.24,0.548,0.546,1.497,0.482,-0.647,0.804,-0.185,-0.296,0.459,-0.881,0.854,0.549,-1.306,-1.268,-0.935,2,0,5.769,6587,8.793,5026.136,5065.43,144.42,106.94,0.602,31691.8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,1,0,0,0,0,0,-2.642,100,1,0,1,1,0,1,"Vargas",65,67,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.000493000028654933,31,0.00407799985259771,0,0,1,0,10091.566,0.531,2750,2768,"COL",100,16,8,1988,16,8,1988,1,0,0,-9,-9,-9,17,4,1,5,5,3,1,1,1,0.187936507936508,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-2.642,1,0,0.407799985259771
"9",100,1997,"Colombia",0.555,0.442,0.374,0.376,0.339,2,5,0,0,1,0,0,0.282,0.805,0.808,0.805,0.836,0.771,NA,1,NA,NA,NA,"Post-1991 constitution (05/07/1991 - E)",1,13,2,0.018,1.897,0.2,2.441,0.852,1.274,0.854,0.739,1.517,64.2,-0.361,1.666,-1.916,0.5,0,1,0,0,0.344,0.572,0.663,0.707,0.597,0.729,0.747,1.825,0.482,-0.647,0.804,0.087,1.284,0.466,0.172,1.579,0.832,1.207,-0.136,0.103,2,0,6.665,7504,8.923,11554.527,15377.123,198.29,153.06,0.603,37759,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,0,-2.642,100,1,0,0,0,0,0,"Pizano",44,47,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.000493000028654933,40,0.00535540003329515,0,1,1,0,26931.65,0.337,4591,4172,"COL",100,6,2,1997,6,2,1997,0,0,0,0,0,0,0,1,1,5,6,1,0,1,1,0.187936507936508,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.642,0,0,0.535540003329515
"10",100,2000,"Colombia",0.544,0.425,0.366,0.361,0.319,2,5,0,0,1,0,0,0.29,0.784,0.774,0.805,0.836,0.749,NA,1,NA,NA,NA,"Post-1991 constitution (05/07/1991 - E)",1,13,2,0.018,1.897,-0.258,2.441,0.852,1.274,0.854,0.739,1.517,64,-0.361,1.512,-1.916,0.5,0,1,0,0,0.37,0.572,0.649,0.707,0.597,0.725,0.747,1.825,0.482,-0.647,0.804,0.087,1.284,0.466,0.172,1.579,0.832,1.207,-0.136,0.103,2,0,6.956,6860,8.833,13164.195,11316.645,265.67,213.26,0.603,39817,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,0,-2.642,100,1,0,0,0,0,0,"Arango",44,46,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.000493000028654933,43,0.00575080001726747,0,2,1,0,24480.84,0.351,4792,4262,"COL",100,13,10,2000,23,11,2000,0,0,0,0,0,0,0,1,1,5,5,3,0,1,1,0.187936507936508,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.642,0,0,0.575080001726747
"12",100,2003,"Colombia",0.53,0.424,0.366,0.178,0.314,2,5,0,0,1,0,0,0.322,0.854,0.813,0.805,0.81,0.737,NA,1,NA,NA,NA,"Post-1991 constitution (05/07/1991 - E)",1,13,2,0.018,1.897,-0.847,2.441,0.852,1.274,0.854,0.739,1.517,72.5,0.74,0.291,-0.662,0.5,0,0.75,0,0,0.37,0.628,0.656,0.756,0.542,0.713,0.794,1.825,0.544,-0.263,0.886,0.726,1.083,0.994,0.172,1.579,1.273,1.207,-0.136,0.103,2,0,7.151,6982,8.851,12855.171,13593.166,211.98,146.91,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.65,100,NA,NA,NA,NA,NA,NA,"Alvaro Uribe Velez",50,51,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.000493000028654933,46,NA,0,0,1,NA,26448.337,0.344,5346,4495,"COL",100,-9,3,2003,30,3,2003,0,0,0,0,0,0,0,1,1,5,5,3,0,1,1,0.386984126984127,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,NA
"13",101,1959,"Venezuela",0.613,0.487,0.139,0.457,0.378,1,3,0.214,0,1,0,0,0.324,0.419,0.808,0.786,0.777,0.805,NA,1,NA,NA,NA,"Post-1959 alternation (14/02/1959 - 15/02/2009)",1,2,2,1.982,2.378,1.19,0.714,1.251,1.105,0.74,1.532,-0.365,90,NA,0.954,-1.112,0.5,0.375,0.25,0,0,0.311,0.882,0.71,0.902,0.804,0.827,0.898,1.8,0.756,0.976,1.349,1.595,1.75,1.647,2.298,1.107,1.8,2.411,0.761,0.965,2,1,3.466,5881,8.679,2351,1551,2091.85,2070.87,0.735,7301.735,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,0,0.5,1,0,0.5,0,-1.085,101,1,1,1,0,0,0,"Betancourt",51,51,1,1,0,0,0,0,0,1,0,0.5,0,0,0,1.5,0.00328999990597367,1,0.00625069998204708,0,14,0,0,3902,0.29,972,1114,"VEN",101,-9,7,1959,24,7,1959,1,1,3,-9,0,0,1,2,0,5,5,3,1,2,1,0.315555555555556,0.5,0.375,0.25,0,0,0.214285714285714,0.0676190476190476,0.107142857142857,0.0803571428571428,0.0535714285714286,0,0,1,1,0,1,0,0,1,0,1,0,0,1,-1.085,1,0.0676190476190476,0.625069998204708
"35",101,2003,"Venezuela",0.514,0.247,0.363,0.347,0.394,2,5,0.143,0,1,0,0,0.792,0.676,0.723,0.362,0.201,0.611,NA,1,NA,NA,NA,"Post-1959 alternation (14/02/1959 - 15/02/2009)",1,2,5,1.956,-0.295,0.047,-0.404,-0.322,-0.275,-0.591,1.532,-0.124,88.667,0.668,-0.123,0.575,0.25,1,0,0,0,0.267,0.739,0.203,0.72,0.473,0.618,0.788,1.444,0.703,0.976,0.891,0.408,0.804,1.647,2.298,-0.21,0.854,1.272,-0.391,-0.177,2,0,6.49,6740,8.816,27229.235,8342.115,1120.7,927.45,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,0.5,1,0,0,0.5,0.5,0.5,0,0,0.5,2.835,101,NA,NA,NA,NA,NA,NA,"Hugo Chavez",45,49,1,1,0,0,1,0,1,1,1,1,0,0,0,4,0.00328999990597367,35,NA,0,0,0,NA,35571.35,0.797,5345,4495,"VEN",101,-9,3,2003,30,3,2003,1,1,2,0,0,0,16,4,1,5,5,3,0,1,1,0.583333333333333,0.25,1,0,0,0,0.571428571428571,0.333333333333333,0.142857142857143,0.571428571428571,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,2.835,0,0.333333333333333,NA
"36",110,1966,"Guyana",0.29,0.2,0.231,0.19,0.181,1,3,0,0,0,0,0,0.549,0.585,0.773,0.691,0.131,0.661,NA,0,-1.11,1.572,1.382,"Independent Guyana under Burnham (24/05/1966 - 23/02/1970)",1,10,NA,NA,-0.806,-0.231,0.427,0.51,1.434,0.706,1.373,1.368,99.455,NA,1.18,0.088,0.333,0.667,0.667,0,0,0.588,0.83,0.607,0.805,0.782,0.72,0.73,0.96,0.657,0.409,1.083,0.386,1.037,1.24,1.268,0.901,1.126,1.724,1.376,0.968,2,3,5.408,NA,NA,109.1,117.9,0,0,0.154,657.32,0,0,0.333,1,0,0,0,0,0,0,0,0.5,0.25,0.25,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836,110,1,0,0,0,0,0,"Burnham",43,43,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,0,0.0000474000007670838,0,0,0,0,227,0.393,1045,1166,"GUY",110,14,10,1966,14,4,1967,0,0,0,-9,0,0,0,1,1,5,6,1,0,1,1,0.506031746031746,0.333,0.667,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836,1,0,0.00474000007670838
"37",110,1969,"Guyana",0.347,0.222,0.193,0.201,0.233,1,3,0,0,0,0,0,0.623,0.666,0.707,0.709,0.121,0.66,NA,0,-1.11,1.143,1.382,"Independent Guyana under Burnham (24/05/1966 - 23/02/1970)",1,10,NA,NA,-2.025,-0.661,0.427,0.51,1.434,0.706,1.373,1.368,99.455,NA,0.672,0.088,0.333,0.667,0.667,0,0,0.614,0.805,0.58,0.817,0.683,0.7,0.78,0.936,0.657,0.409,1.083,0.837,1.037,1.213,1.268,0.901,1.329,1.734,1.272,1.036,2,3,5.577,NA,NA,120.069,118.158,0,0,0.148,700.438,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836,110,1,0,0,0,0,0,"Burnham",43,46,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,3,0.000061699996876996,0,2,0,0,238.227,0.42,2337,2239,"GUY",110,18,1,1969,20,1,1969,0,0,0,-9,0,0,8,3,1,5,5,3,1,1,1,0.506031746031746,0.333,0.667,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.836,1,0,0.0061699996876996
"38",110,1970,"Guyana",0.349,0.229,0.193,0.204,0.252,1,3,0,0,0,0,0,0.589,0.551,0.709,0.773,0.121,0.55,NA,0,-1.11,1.143,1.382,"Cooperative Republic of Guyana under Burnham and Hoyte (24/02/1970 - 09/10/1992)",1,9,NA,NA,-2.025,-0.661,0.427,1.318,1.434,0.706,1.373,1.368,99.455,NA,0.436,1.146,0.333,1,0.333,0,0,0.633,0.805,0.612,0.817,0.547,0.643,0.792,0.936,0.657,0.409,1.083,0.66,0.854,1.213,1.268,-0.467,1.329,1.734,0.901,1.036,2,3,5.634,NA,NA,133.426,134.115,0,0,0.147,714.811,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.637,110,1,0,0,1,0,0,"Burnham",43,47,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,4,0.0000662000020383857,0,0,0,0,267.541,0.388,2338,2240,"GUY",110,19,2,1970,22,2,1970,0,0,0,-9,0,0,17,4,1,5,5,3,1,1,1,0.673968253968254,0.333,1,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.637,1,0,0.00662000020383857
"39",110,1975,"Guyana",0.283,0.198,0.184,0.149,0.228,1,3,0,0,0,0,0,0.58,0.596,0.641,0.773,0.121,0.55,NA,0,-1.11,1.143,1.382,"Cooperative Republic of Guyana under Burnham and Hoyte (24/02/1970 - 09/10/1992)",1,9,NA,NA,-2.025,-0.661,0.427,1.318,1.434,0.706,1.373,1.368,99.455,NA,0.436,1.146,0.333,1,0.333,0,0,0.633,0.805,0.612,0.817,0.609,0.627,0.792,0.936,0.657,0.409,1.083,0.66,0.854,1.213,1.268,-0.741,1.329,1.734,0.901,1.036,2,3,6.105,NA,NA,362.894,342.371,0,0,0.149,737.082,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.637,110,1,0,0,0,0,0,"Burnham",43,52,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,9,0.0000536000006832182,0,4,0,0,705.265,0.388,1077,1189,"GUY",110,-9,11,1975,-9,7,1976,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,0.673968253968254,0.333,1,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.637,1,0,0.00536000006832182
"40",110,1976,"Guyana",0.275,0.197,0.18,0.148,0.212,1,3,0,0,0,0,0,0.58,0.596,0.641,0.773,0.121,0.55,NA,0,-1.11,1.143,1.382,"Cooperative Republic of Guyana under Burnham and Hoyte (24/02/1970 - 09/10/1992)",1,9,NA,NA,-2.025,-0.661,0.427,1.318,1.434,0.706,1.373,1.368,99.455,NA,0.436,1.146,0.333,1,0.333,0,0,0.633,0.805,0.612,0.817,0.609,0.627,0.792,0.936,0.657,0.409,1.083,0.66,0.854,1.213,1.268,-0.741,1.329,1.734,0.901,1.036,2,3,6.2,NA,NA,271.645,363.679,0,0,0.15,741.536,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.637,110,2,1,0,0,0,0,"Burnham",43,53,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,10,0.000076900003477931,0,0,0,0,635.324,0.388,2374,2318,"GUY",110,-9,4,1976,-9,4,1976,0,1,1,-9,0,0,0,1,1,5,5,3,0,1,1,0.673968253968254,0.333,1,0.333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.637,1,0,0.0076900003477931
"41",110,1976,"Guyana",0.275,0.197,0.18,0.148,0.212,1,3,0,0,0,0,0,0.58,0.596,0.641,0.773,0.121,0.55,NA,0,-1.11,1.143,1.382,"Cooperative Republic of Guyana under Burnham and Hoyte (24/02/1970 - 09/10/1992)",1,9,NA,NA,-2.025,-0.661,0.427,1.318,1.434,0.706,1.373,1.368,99.455,NA,0.436,1.146,0.333,1,0.333,0,0,0.633,0.805,0.612,0.817,0.609,0.627,0.792,0.936,0.657,0.409,1.083,0.66,0.854,1.213,1.268,-0.741,1.329,1.734,0.901,1.036,2,3,6.2,NA,NA,271.645,363.679,0,0,0.15,741.536,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.637,110,2,1,0,0,0,0,"Burnham",43,53,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,10,0.000076900003477931,0,0,0,0,635.324,0.388,2372,2317,"GUY",110,-9,4,1976,-9,4,1976,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,0.673968253968254,0.333,1,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.637,1,0,0.0076900003477931
"42",110,1977,"Guyana",0.272,0.197,0.18,0.145,0.211,1,3,0,0,0,0,0,0.58,0.596,0.646,0.773,0.121,0.55,NA,0,-1.11,1.143,1.382,"Cooperative Republic of Guyana under Burnham and Hoyte (24/02/1970 - 09/10/1992)",1,9,NA,NA,-2.025,-0.661,0.427,1.318,1.434,0.706,1.373,1.368,99.455,NA,0.095,1.146,0.333,1,0.333,0,0,0.633,0.805,0.612,0.817,0.531,0.605,0.744,0.659,0.657,0.409,1.083,0.66,1.485,1.213,1.268,-0.97,1.329,1.734,0.901,1.036,2,3,6.294,NA,NA,258.914,314.021,0,0,0.15,745.99,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.637,110,1,1,1,1,1,1,"Burnham",43,54,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,11,0.0000855999969644472,0,0,0,0,572.935,0.388,2389,2326,"GUY",110,-9,9,1977,-9,2,1978,1,1,1,-9,0,0,15,4,1,5,6,1,1,1,1,0.673968253968254,0.333,1,0.333,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1.637,1,0,0.00855999969644472
"43",110,1981,"Guyana",0.249,0.177,0.163,0.119,0.211,1,3,0.25,0,0,0,0.125,0.572,0.471,0.582,0.684,0.099,0.23,NA,1,NA,NA,NA,"Cooperative Republic of Guyana under Burnham and Hoyte (24/02/1970 - 09/10/1992)",1,9,NA,NA,-2.025,-0.842,0.427,1.318,1.434,0.706,0.688,1.368,99.455,NA,-1.771,1.146,0.333,1,0.333,0,0,0.616,0.805,0.503,0.817,0.408,0.445,0.776,0.659,0.657,0.409,1.083,0.193,0.707,1.213,1.268,-0.97,1.329,1.734,0.901,1.036,2,7,6.659,NA,NA,346.126,439.638,0,0,0.153,758.507,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.676,110,1,0,0,0,0,0,"Burnham",43,58,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,1,0.0000813000006019138,0,3,0,0,785.764,0.497,2334,2237,"GUY",110,24,7,1981,5,9,1982,0,0,0,-9,0,0,10,3,1,5,5,3,1,1,2,0.673968253968254,0.333,1,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.676,1,0,0.00813000006019138
"44",110,1982,"Guyana",0.249,0.177,0.163,0.131,0.211,1,3,0.25,0,0,0,0.125,0.572,0.471,0.582,0.684,0.099,0.23,NA,1,NA,NA,NA,"Cooperative Republic of Guyana under Burnham and Hoyte (24/02/1970 - 09/10/1992)",1,9,NA,NA,-2.025,-0.842,0.427,1.318,1.434,0.706,0.688,1.368,99.455,NA,-1.771,1.146,0.333,1,0.333,0,0,0.616,0.805,0.503,0.817,0.408,0.445,0.776,0.659,0.657,0.409,1.083,0.193,0.707,1.213,1.268,-0.97,1.329,1.734,0.901,1.036,2,7,6.742,NA,NA,258.416,280.146,0,0,0.154,757.662,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.676,110,1,0,0,0,0,0,"Burnham",43,59,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0.0821999981999397,2,0.0000807000033091754,0,0,0,0,538.562,0.497,3281,3085,"GUY",110,10,5,1982,5,9,1982,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,0.673968253968254,0.333,1,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.676,1,0,0.00807000033091754
